id,name,constituencyLabel,constituency,partyLabel,party
Q61694597,Evans Bobie Opoku,Asunafo North,Q4811877,NPP,Q1148441
Q61694726,Eric Opoku,Asunafo South,Q4811879,NDC,Q200875
Q61694553,Benhazin Joseph Dahah,Asutifi North,Q4811949,NPP,Q1148441
Q5147367,Collins Dauda,Asutifi South,Q4811952,NDC,Q200875
Q26899153,Freda Prempeh,Tano North,Q7683714,NPP,Q1148441
Q61694558,Benjamin Yeboah Sekyere,Tano South,Q7683715,NPP,Q1148441
Q61694639,Kwabena Appiah-Pinkrah,Adansi-Akrofuom,Q4701650,NPP,Q1148441
Q17386197,Kobina Tahir Hammond,Adansi-Asokwa,Q4680635,NPP,Q1148441
Q61694739,Nana Amaniampong Marfo,Afigya Kwabre North,,NPP,Q1148441
Q61694741,William Owuraku Aidoo,Afigya Kwabre South,,NPP,Q1148441
Q57915895,Mavis Nkansah Boadu,Afigya Sekyere East,Q4689244,NPP,Q1148441
Q61694707,Suleman Adamu Sanid,Ahafo Ano North,Q4694906,NPP,Q1148441
Q61694603,Francis Manu-Adabor,Ahafo Ano South East,Q55603355,NPP,Q1148441
Q61694623,Johnson Kweku Adu,Ahafo Ano South West,Q55603356,NPP,Q1148441
Q59180272,Kwame Anyimadu - Antwi,Asante-Akim Central,Q55604282,NPP,Q1148441
Q61694546,Andy Kwame Appiah-Kubi,Asante-Akim North,Q4803553,NPP,Q1148441
Q61694742,Kwaku Asante - Boateng,Asante-Akim South,Q4803554,NPP,Q1148441
Q16733008,Alhaji Muntaka Mohammed Mabarak,Asawase,Q4803661,NDC,Q200875
Q26899146,Patricia Appiagyei,Asokwa,Q4807573,NPP,Q1148441
Q61694734,Kojo Appiah-Kubi,Atwima-Kwanwoma,Q4818854,NPP,Q1148441
Q33108613,Isaac Kwame Asiamah,Atwima-Mponua,Q4818855,NPP,Q1148441
Q30688553,Benito Owusu Bio,Atwima-Nwabiagya North,Q30611694,NPP,Q1148441
Q30674983,Emmanuel Adjei Anwhere,Atwima-Nwabiagya South,Q30611695,NPP,Q1148441
Q61694574,Daniel Okyem Aboagye,Bantama,Q4857186,NPP,Q1148441
Q28377798,Joseph Osei-Owusu,Bekwai,Q4881682,NPP,Q1148441
Q58100498,Joyce Adwoa Akoh Dei,Bosome-Freho,Q4947436,NPP,Q1148441
Q61694716,Yaw Osei Adutwum,Bosomtwe,Q4947437,NPP,Q1148441
Q61694671,Nana Ayew Afriyie,Effiduase-Asokore,Q5347452,NPP,Q1148441
Q35563142,Kwabena Owusu Aduomi,Ejisu,Q5350142,NPP,Q1148441
Q61694772,Muhammad Bawah Braimah,Ejura-Sekyedumase,Q5350158,NDC,Q200875
Q61686734,Andrew Amoako Asiamah,Fomena,Q5464918,NPP,Q1148441
"",Ama Pomaa Boateng,Juaben,Q28223417,NPP,Q1148441
Q61694684,Philip Basoah,Kumawu,Q6443671,NPP,Q1148441
Q20119890,Francisca Oteng Mensah,Kwabre East,Q6449938,NPP,Q1148441
Q31960722,Samiu Kwadwo Nuamah,Kwadaso,Q16733742,NPP,Q1148441
Q61694649,Kwaku Ampratwum-Sarpong,Mampong,Q16733832,NPP,Q1148441
Q61695502,Collins Owusu Amankwah,Manhyia North,Q55640991,NPP,Q1148441
Q28677017,Mathew Opoku Prempeh,Manhyia South,Q55622043,NPP,Q1148441
Q61694604,Frimpong Yaw Addo,Manso Edubia,Q55622097,NPP,Q1148441
Q61694625,Joseph Albert Quarm,Manso Nkwanta,Q55640993,NPP,Q1148441
Q61694607,George Oduro,New Edubease,Q7007079,NPP,Q1148441
Q61694535,Kennedy Kwasi Kankam,Nhyiaeso,Q7023394,NPP,Q1148441
Q61694652,Kwame Asafu-Adjei,Nsuta-Kwamang-Beposo,"",NPP,Q1148441
Q61694675,Patrick Boakye-Yiadom,Obuasi East,Q48797813,NPP,Q1148441
Q43182802,Kwaku Agyemang Kwarteng,Obuasi West,Q48797816,NPP,Q1148441
Q61694725,Emmanuel Akwasi Gyamfi,Odotobri,Q7078327,NPP,Q1148441
Q61694720,Augustine Collins Ntim,Offinso North,Q7079628,NPP,Q1148441
Q61694764,Ben Abdallah Banda,Offinso South,Q7079629,NPP,Q1148441
Q61694591,Emmanuel Marfo,Oforikrom,Q7079764,NPP,Q1148441
Q572683,Anthony Akoto Osei,Old Tafo,Q7085182,NPP,Q1148441
Q38803881,Alex Adomako-Mensah,Sekyere Afram Plains,Q55632819,NDC,Q200875
Q7106472,Osei Kyei Mensah Bonsu,Suame,Q7630460,NPP,Q1148441
Q61694727,Eugene Boakye Antwi,Subin,Q7631335,NPP,Q1148441
Q61694536,Ahmed Ibrahim,Banda,Q25212634,NDC,Q200875
Q58494534,Kwabena Twum-Nuamah,Berekum East,Q55605235,NPP,Q1148441
Q61694648,Kwaku Agyenim-Boateng,Berekum West,Q55639304,NPP,Q1148441
Q28741196,Kwaku Agyeman-Manu,Dormaa Central,Q55639598,NPP,Q1148441
Q61694712,William Kwasi Sabi,Dormaa East,Q5298058,NPP,Q1148441
Q61694750,Ali Maiga Halidu,Dormaa West,Q5298061,NPP,Q1148441
Q61694705,Siaka Stevens,Jaman North,Q6127712,NPP,Q1148441
Q61694713,Yaw Afful,Jaman South,Q6127714,NPP,Q1148441
Q28606407,Kwasi Ameyaw Cheremeh,Sunyani East,Q7641757,NPP,Q1148441
Q1657330,Ignatius Baffour Awuah,Sunyani West,Q7641759,NPP,Q1148441
Q61694605,Gabriel Osei,Tain,Q7676171,NPP,Q1148441
Q33634856,George Yaw Gyan-Baffour,Wenchi,Q7982337,NPP,Q1148441
Q61694733,Kofi Amoakohene,Atebubu-Amantin,Q4812981,NPP,Q1148441
Q61694657,Kwasi Etu-Bonde,Kintampo North,Q6414331,NDC,Q200875
Q57915590,Felicia Adjei,Kintampo South,Q6414332,NDC,Q200875
Q35562227,Derrick Oduro,Nkoranza North,Q7042615,NPP,Q1148441
Q61694568,Charles Konadu-Yiadom,Nkoranza South,Q7042621,NPP,Q1148441
Q21908926,Kwabena Donkor,Pru East,Q55630716,NDC,Q200875
Q61694753,Masawud Mohammed,Pru West,Q55641508,NDC,Q200875
Q61694576,Dominic Napare,Sene East,Q55641720,NDC,Q200875
Q61694654,Kwame Twumasi Ampofo,Sene West,Q55632850,NDC,Q200875
Q61694664,Martin Oti Gyarko,Techiman North,Q7692201,NPP,Q1148441
Q61694613,Henry Yeboah Yiadom-Boachie,Techiman South,Q7692202,NPP,Q1148441
Q61694586,Elvis Morris Donkoh,Abura-Asebu-Kwamankese,Q4670647,NPP,Q1148441
Q16734040,Queenstar Pokua Sawyerr,Agona East,Q4693337,NDC,Q200875
Q58174790,Cynthia Mamle Morrison,Agona West,Q4693339,NPP,Q1148441
Q61694564,Cassiel Ato Baah Forson,Ajumako-Enyan-Essiam,Q4699979,NDC,Q200875
Q61694548,Anthony Effah,Asikuma-Odoben-Brakwa,Q4806950,NPP,Q1148441
Q28223333,Kennedy Agyapong,Assin Central,Q55639216,NPP,Q1148441
Q58175272,Abena Durowaa Mensah,Assin North,Q4808892,NPP,Q1148441
Q61694622,John Ntim Fordjuor,Assin South,Q16252046,NPP,Q1148441
Q26899283,Mavis Hawa Koomson,Awutu-Senya East,Q55556584,NPP,Q1148441
Q35563229,George Nenyi Kojo Andah,Awutu-Senya West,Q55604569,NPP,Q1148441
Q35561225,Barbara Asher Ayisi,Cape Coast North,Q55606579,NPP,Q1148441
